Subway,,,,,,,
製表日期：,2025/12/13,,,,,,[VENUSTW_G18]
1,A030202,燒烤牛肉堡12吋,1,0,250,AP 單品入帳,20:35:24
,合計,,1,0,250,,
,,,,,,,
,TOTAL,,,,250,現金付款,
,發票編號：,VM14254234 ～ VM14254234,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/02,序 號：,0162,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A050101,義大利經典堡6吋,1,0,135,AP 單品入帳,20:45:24
2,A0701,A套餐,1,0,48,AP 單品入帳,20:45:24
,合計,,2,0,183,,
,,,,,,,
,TOTAL,,,,183,現金付款,
,發票編號：,VM14254235 ～ VM14254235,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/02,序 號：,0163,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A050401,哈燒起司總匯堡6吋,1,0,125,AP 單品入帳,20:50:40
,合計,,1,0,125,,
,,,,,,,
,TOTAL,,,,125,現金付款,
,發票編號：,VM14254236 ～ VM14254236,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/02,序 號：,0164,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030501,火腿堡6吋,1,0,105,AP 單品入帳,20:52:36
2,A060301,培根1條,1,0,23,AP 單品入帳,20:52:36
,合計,,2,0,128,,
,,,,,,,
,TOTAL,,,,128,信用卡付款,
,發票編號：,VM14254237 ～ VM14254237,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/02,序 號：,0165,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A050102,義大利經典堡12吋,1,0,243,AP 單品入帳,21:07:31
2,A060201,蛋沙拉1球,1,0,35,AP 單品入帳,21:07:31
3,A060601,嫩煎蛋一片,1,0,35,AP 單品入帳,21:07:31
,合計,,3,0,313,,
,,,,,,,
,TOTAL,,,,313,現金付款,
,發票編號：,VM14254238 ～ VM14254238,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/02,序 號：,0166,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020302,香烤雞肉堡12吋,1,0,225,AP 單品入帳,21:12:14
2,A060401,酪梨泥一球,1,0,45,AP 單品入帳,21:12:14
,合計,,2,0,270,,
,,,,,,,
,TOTAL,,,,270,信用卡付款,
,發票編號：,VM14254239 ～ VM14254239,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/02,序 號：,0167,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030101,厚切嫩牛堡6吋,1,0,149,AP 單品入帳,21:27:01
2,A0701,A套餐,1,0,43,AP 單品入帳,21:27:01
,合計,,2,0,192,,
,,,,,,,
,TOTAL,,,,192,信用卡付款,
,發票編號：,VM14254240 ～ VM14254240,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/02,序 號：,0168,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030502,火腿堡12吋,1,0,189,AP 單品入帳,21:31:21
2,A030506,火腿雙份肉料,2,0,110,AP 單品入帳,21:31:21
,合計,,3,0,299,,
,,,,,,,
,TOTAL,,,,299,信用卡付款,
,發票編號：,VM14254241 ～ VM14254241,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/02,序 號：,0169,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030402,墨西哥辣牛堡12吋,1,0,207,AP 單品入帳,21:31:42
,合計,,1,0,207,,
,,,,,,,
,TOTAL,,,,207,現金付款,
,發票編號：,VM14254242 ～ VM14254242,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/02,序 號：,0170,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A040201,鮪魚堡6吋,1,0,125,AP 單品入帳,21:53:05
,合計,,1,0,125,,
,,,,,,,
,TOTAL,,,,125,信用卡付款,
,發票編號：,VM14254243 ～ VM14254243,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/02,序 號：,0171,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A0193,套餐培根起司蛋,1,0,98,AP 單品入帳,08:03:32
,合計,,1,0,98,,
,,,,,,,
,TOTAL,,,,98,信用卡付款,
,發票編號：,VM14254244 ～ VM14254244,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0001,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A0193,套餐培根起司蛋,1,0,98,AP 單品入帳,08:06:53
,合計,,1,0,98,,
,,,,,,,
,TOTAL,,,,98,現金付款,
,發票編號：,VM14254245 ～ VM14254245,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0002,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A0191,套餐起司蛋,1,0,78,AP 單品入帳,08:07:50
,合計,,1,0,78,,
,,,,,,,
,TOTAL,,,,78,Line Pay付款,
,發票編號：,VM14254246 ～ VM14254246,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0004,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020401,照燒雞肉堡6吋,1,0,128,AP 單品入帳,08:15:22
2,A020406,照燒雞肉雙份肉料,1,0,55,AP 單品入帳,08:15:22
3,A060301,培根1條,1,0,23,AP 單品入帳,08:15:22
4,A060301,培根1條,1,0,23,AP 單品入帳,08:15:22
5,A060601,嫩煎蛋一片,1,0,35,AP 單品入帳,08:15:22
6,A0703,C套餐,1,0,55,AP 單品入帳,08:15:22
,合計,,6,0,319,,
,,,,,,,
,TOTAL,,,,319,現金付款,
,發票編號：,VM14254247 ～ VM14254247,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0005,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A0194,套餐厚牛起司蛋,1,0,108,AP 單品入帳,08:24:45
,合計,,1,0,108,,
,,,,,,,
,TOTAL,,,,108,現金付款,
,發票編號：,VM14254248 ～ VM14254248,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0006,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A0191,套餐起司蛋,1,0,78,AP 單品入帳,08:29:09
4,A060401,酪梨泥一球,1,0,45,AP 單品入帳,08:29:09
,合計,,2,0,123,,
,,,,,,,
,TOTAL,,,,123,現金付款,
,發票編號：,VM14254249 ～ VM14254249,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0007,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020501,鮮嫩雞柳堡6吋,1,0,125,AP 單品入帳,08:31:43
2,A060401,酪梨泥一球,1,0,45,AP 單品入帳,08:31:43
3,A090902,拿鐵熱,1,0,50,AP 單品入帳,08:31:43
,合計,,3,0,220,,
,,,,,,,
,TOTAL,,,,220,現金付款,
,發票編號：,VM14254250 ～ VM14254250,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0008,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A010301,火腿起司蛋堡,1,0,62,AP 單品入帳,08:33:44
2,A060401,酪梨泥一球,1,0,45,AP 單品入帳,08:33:44
,合計,,2,0,107,,
,,,,,,,
,TOTAL,,,,107,現金付款,
,發票編號：,VM14254251 ～ VM14254251,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0010,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A050101,義大利經典堡6吋,1,0,135,AP 單品入帳,08:36:48
2,A0703,C套餐,1,0,55,AP 單品入帳,08:36:48
,合計,,2,0,190,,
,,,,,,,
,TOTAL,,,,190,Line Pay付款,
,發票編號：,VM14254252 ～ VM14254252,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0011,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A0702,B套餐,1,0,53,AP 單品入帳,08:49:18
4,A020301,香烤雞肉堡6吋,1,0,125,AP 單品入帳,08:49:18
5,A060601,嫩煎蛋一片,1,0,35,AP 單品入帳,08:49:18
,合計,,3,0,213,,
,,,,,,,
,TOTAL,,,,213,現金付款,
,發票編號：,VM14254253 ～ VM14254253,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0012,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A050301,百味俱樂部堡6吋,1,0,128,AP 單品入帳,09:15:06
,合計,,1,0,128,,
,,,,,,,
,TOTAL,,,,128,Line Pay付款,
,發票編號：,VM14254254 ～ VM14254254,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0013,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,B228,義大利牛肉丸,1,0,240,AP 單品入帳,09:40:42
5,B205,墨西哥辣牛,1,0,195,AP 單品入帳,09:40:42
,合計,,2,0,435,,
,,,,,,,
,TOTAL,,,,435,FoodPanda付款,
,發票編號：,VM14254255 ～ VM14254255,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0014,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,B213,義大利經典,1,0,219,AP 單品入帳,09:44:47
,合計,,1,0,219,,
,,,,,,,
,TOTAL,,,,219,FoodPanda付款,
,發票編號：,VM14254256 ～ VM14254256,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0015,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,U0206,6吋墨西哥辣牛潛艇堡 6-Inch Taco Beef Sub,1,0,240,AP 單品入帳,09:49:26
,合計,,1,0,240,,
,,,,,,,
,TOTAL,,,,240,UberEats付款,
,發票編號：,VM14254257 ～ VM14254257,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0016,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A0192,套餐火腿起司蛋,1,0,88,AP 單品入帳,09:51:46
5,A0192,套餐火腿起司蛋,1,0,100,AP 單品入帳,09:51:46
8,A060201,蛋沙拉1球,2,0,70,AP 單品入帳,09:51:46
,合計,,4,0,258,,
,,,,,,,
,TOTAL,,,,258,現金付款,
,發票編號：,VM14254258 ～ VM14254258,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0017,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,U0212,6吋照燒雞肉潛艇堡 6-Inch Chicken Teriyaki Sub,1,0,209,AP 單品入帳,10:08:04
11,U0211,6吋義大利牛肉丸潛艇堡 6-Inch Roast Beef Sub,1,0,210,AP 單品入帳,10:08:04
,合計,,2,0,419,,
,,,,,,,
,TOTAL,,,,419,UberEats付款,
,發票編號：,VM14254259 ～ VM14254259,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0019,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A040205,鮪魚沙拉,1,0,163,AP 單品入帳,10:09:22
2,A040206,鮪魚雙份肉料,1,0,55,AP 單品入帳,10:09:22
,合計,,2,0,218,,
,,,,,,,
,TOTAL,,,,218,現金付款,
,發票編號：,VM14254260 ～ VM14254260,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0020,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A0194,套餐厚牛起司蛋,1,0,108,AP 單品入帳,10:17:30
,合計,,1,0,108,,
,,,,,,,
,TOTAL,,,,108,Line Pay付款,
,發票編號：,VM14254261 ～ VM14254261,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0021,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A010101,厚切牛起司蛋堡,1,0,82,AP 單品入帳,10:55:28
,合計,,1,0,82,,
,,,,,,,
,TOTAL,,,,82,信用卡付款,
,發票編號：,VM14254266 ～ VM14254266,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0022,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A050601,蛋沙拉堡6吋,1,0,120,AP 單品入帳,10:41:11
2,A0815,餅乾3片,1,0,60,AP 單品入帳,10:41:11
,合計,,2,0,180,,
,,,,,,,
,TOTAL,,,,180,現金付款,
,發票編號：,VM14254262 ～ VM14254262,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0023,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020401,照燒雞肉堡6吋,1,0,128,AP 單品入帳,10:43:39
2,A060201,蛋沙拉1球,1,0,35,AP 單品入帳,10:43:39
,合計,,2,0,163,,
,,,,,,,
,TOTAL,,,,163,現金付款,
,發票編號：,VM14254263 ～ VM14254263,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0024,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A080201,嫩雞沙拉捲餅,1,0,102,AP 單品入帳,10:46:07
2,A020602,嫩切雞肉堡12吋,1,0,198,AP 單品入帳,10:46:07
3,A0706,F套餐,1,0,85,AP 單品入帳,10:46:07
,合計,,3,0,385,,
,,,,,,,
,TOTAL,,,,385,現金付款,
,發票編號：,VM14254264 ～ VM14254264,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0025,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A040201,鮪魚堡6吋,1,0,125,AP 單品入帳,10:52:50
2,A060401,酪梨泥一球,1,0,45,AP 單品入帳,10:52:50
,合計,,2,0,170,,
,,,,,,,
,TOTAL,,,,170,現金付款,
,發票編號：,VM14254265 ～ VM14254265,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0026,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,B204,鮪魚,1,0,206,AP 單品入帳,11:01:44
5,B204,鮪魚,1,0,206,AP 單品入帳,11:01:44
,合計,,2,0,412,,
,,,,,,,
,TOTAL,,,,412,FoodPanda付款,
,發票編號：,VM14254267 ～ VM14254267,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0027,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,U0208,6吋百味俱樂部潛艇堡 6-Inch Subway ClubTM Sub,1,0,209,AP 單品入帳,11:03:28
11,U0208,6吋百味俱樂部潛艇堡 6-Inch Subway ClubTM Sub,1,0,209,AP 單品入帳,11:03:28
21,U0212,6吋照燒雞肉潛艇堡 6-Inch Chicken Teriyaki Sub,1,0,209,AP 單品入帳,11:03:28
31,U0204,6吋鮪魚潛艇堡 6-Inch Tuna Sub,1,0,206,AP 單品入帳,11:03:28
41,U0208,6吋百味俱樂部潛艇堡 6-Inch Subway ClubTM Sub,1,0,209,AP 單品入帳,11:03:28
,合計,,5,0,1042,,
,,,,,,,
,TOTAL,,,,1042,UberEats付款,
,發票編號：,VM14254268 ～ VM14254268,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0028,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
2,A0704,D套餐,1,0,78,AP 單品入帳,11:14:21
6,A050401,哈燒起司總匯堡6吋,1,0,125,AP 單品入帳,11:14:21
,合計,,2,0,203,,
,,,,,,,
,TOTAL,,,,203,現金付款,
,發票編號：,VM14254269 ～ VM14254269,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0030,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030102,厚切嫩牛堡12吋,1,0,268,AP 單品入帳,11:15:28
,合計,,1,0,268,,
,,,,,,,
,TOTAL,,,,268,Line Pay付款,
,發票編號：,VM14254270 ～ VM14254270,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0031,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,U0208,6吋百味俱樂部潛艇堡 6-Inch Subway ClubTM Sub,1,0,211,AP 單品入帳,11:21:14
,合計,,1,0,211,,
,,,,,,,
,TOTAL,,,,211,UberEats付款,
,發票編號：,VM14254271 ～ VM14254271,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0032,,統一編號：,04129719
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020501,鮮嫩雞柳堡6吋,1,0,125,AP 單品入帳,11:27:13
2,A030201,燒烤牛肉堡6吋,1,0,139,AP 單品入帳,11:27:13
,合計,,2,0,264,,
,,,,,,,
,TOTAL,,,,264,現金付款,
,發票編號：,VM14254272 ～ VM14254272,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0033,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030501,火腿堡6吋,1,0,105,AP 單品入帳,11:31:07
2,A060201,蛋沙拉1球,1,0,35,AP 單品入帳,11:31:07
,合計,,2,0,140,,
,,,,,,,
,TOTAL,,,,140,現金付款,
,發票編號：,VM14254273 ～ VM14254273,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0034,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A010101,厚切牛起司蛋堡,1,82,0,AP 單品入帳,11:40:26
,合計,,1,82,0,,
,,,,,,,
,TOTAL,,,,0,,
,發票編號：,00000000 ～ 00000000,交易種類 ：,◎一般入帳◎,,客戶編號：,2101130002員工餐0元
,交易日期：,2025/12/03,序 號：,0035,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A050401,哈燒起司總匯堡6吋,1,0,125,AP 單品入帳,11:54:06
3,A050301,百味俱樂部堡6吋,1,0,128,AP 單品入帳,11:54:06
,合計,,2,0,253,,
,,,,,,,
,TOTAL,,,,253,信用卡付款,
,發票編號：,VM14254274 ～ VM14254274,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0036,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030301,義大利牛肉丸堡6吋,1,0,129,AP 單品入帳,11:57:56
2,A0701,A套餐,1,0,53,AP 單品入帳,11:57:56
,合計,,2,0,182,,
,,,,,,,
,TOTAL,,,,182,現金付款,
,發票編號：,VM14254275 ～ VM14254275,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0037,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020301,香烤雞肉堡6吋,1,0,125,AP 單品入帳,12:00:43
2,A060201,蛋沙拉1球,1,0,35,AP 單品入帳,12:00:43
,合計,,2,0,160,,
,,,,,,,
,TOTAL,,,,160,現金付款,
,發票編號：,VM14254276 ～ VM14254276,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0038,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020601,嫩切雞肉堡6吋,1,0,110,AP 單品入帳,12:01:57
2,A060201,蛋沙拉1球,1,0,35,AP 單品入帳,12:01:57
,合計,,2,0,145,,
,,,,,,,
,TOTAL,,,,145,現金付款,
,發票編號：,VM14254277 ～ VM14254277,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0039,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A040205,鮪魚沙拉,1,0,163,AP 單品入帳,12:03:24
,合計,,1,0,163,,
,,,,,,,
,TOTAL,,,,163,現金付款,
,發票編號：,VM14254278 ～ VM14254278,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0040,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,U0206,6吋墨西哥辣牛潛艇堡 6-Inch Taco Beef Sub,1,0,195,AP 單品入帳,12:04:36
11,U0409,6吋雙重起司厚切嫩牛潛艇堡 6-Inch Diced Beef with Double Cheese Sub,1,0,257,AP 單品入帳,12:04:36
22,U0206,6吋墨西哥辣牛潛艇堡 6-Inch Taco Beef Sub,1,0,195,AP 單品入帳,12:04:36
,合計,,3,0,647,,
,,,,,,,
,TOTAL,,,,647,UberEats付款,
,發票編號：,VM14254279 ～ VM14254279,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0041,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A040201,鮪魚堡6吋,1,0,125,AP 單品入帳,12:05:46
,合計,,1,0,125,,
,,,,,,,
,TOTAL,,,,125,現金付款,
,發票編號：,VM14254280 ～ VM14254280,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0042,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020303,香烤雞肉烤餅6吋,1,0,135,AP 單品入帳,12:12:18
,合計,,1,0,135,,
,,,,,,,
,TOTAL,,,,135,Line Pay付款,
,發票編號：,VM14254281 ～ VM14254281,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0043,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020602,嫩切雞肉堡12吋,1,0,198,AP 單品入帳,12:13:18
,合計,,1,0,198,,
,,,,,,,
,TOTAL,,,,198,現金付款,
,發票編號：,VM14254282 ～ VM14254282,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0045,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A0704,D套餐,1,0,78,AP 單品入帳,12:22:05
5,A040201,鮪魚堡6吋,1,0,125,AP 單品入帳,12:22:05
,合計,,2,0,203,,
,,,,,,,
,TOTAL,,,,203,Line Pay付款,
